status,height_Mm,temperature_K,pressure_dyn_cm2,pressure_Pa,i_ne_over_nH,f_cm3,f_1e16_cm3,proton_fraction_np_over_nH,f_proton_cm3,f_proton_1e16_cm3,ne_cm3,nH_cm3,n2_cm3,hydrogen_population_sum_over_nH,reconstructed_pressure_Pa,pressure_relative_error,center_index,n_depth_points,iterations,duration_s,bc_type,boundary_source,Nhalf_points,Nrays,threads_per_model,JTol,popsTol,error_type,error_message
ok,3,10000,0.02,0.002,0.8438019560106821,1.1163299456599315e+17,11.163299456599317,0.8105020213101096,1.029958494761422e+17,10.29958494761422,6333227589.025115,7505585337.7814865,359.30032917532736,1.0,0.0019999461929471,-2.690352644222488e-05,45,91,119,38.600220945008914,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,10000,0.05,0.005,0.7520456738959131,9.830546705668198e+16,9.830546705668198,0.7333882503001129,9.348827184389456e+16,9.348827184389457,14816021101.875046,19700959152.017742,2232.983453144439,1.0,0.0049999586549809,-8.269003805815021e-06,45,91,131,29.135965045003104,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,10000,0.1,0.01,0.7433420218557092,9.75152323684155e+16,9.75152323684155,0.7324101560184447,9.4668131743108e+16,9.4668131743108,29428636035.862988,39589630574.625854,8881.12141967063,1.0,0.0099999833688789,-1.6631121048035764e-06,45,91,132,40.82662545899802,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,10000,0.2,0.02,0.7525962087150803,1.0085578568084694e+17,10.085578568084694,0.7463353094783608,9.918471326468307e+16,9.918471326468309,59290186561.207405,78780873295.16913,34854.97831117842,1.0000000000000002,0.0199999948364226,-2.581788659597461e-07,45,91,129,45.11498640599893,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,12000,0.01,0.001,0.9957874698928212,1.472842108124949e+17,14.728421081249492,0.9100094713924064,1.230027164213283e+17,12.30027164213283,2886830460.867624,2899042765.800557,56.58305166466747,0.9999999999999998,0.0009999786166771,-2.1383322880387176e-05,45,91,89,26.343116767995525,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,12000,0.02,0.002,0.9532548636014958,1.2441069813213517e+17,12.441069813213517,0.8678705094174392,1.0312157318881917e+17,10.312157318881916,5642340939.042543,5919026647.003084,255.89448295340992,1.0000000000000002,0.001999963996131,-1.8001934475866607e-05,45,91,108,38.07185195200145,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,12000,0.05,0.005,0.9436317756967768,1.0561321265063155e+17,10.561321265063157,0.8594174510010318,8.760350369906021e+16,8.760350369906021,14029864975.710823,14867944612.559477,1863.7546032030516,1.0,0.0049999852154808,-2.956903826303869e-06,45,91,128,45.08371043599618,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,12000,0.1,0.01,0.966096998586871,1.059558305355279e+17,10.59558305355279,0.8838131343239758,8.867563292344656e+16,8.867563292344656,28413350650.91281,29410453290.377235,7619.387164739618,1.0,0.0099999947560926,-5.243907384711032e-07,45,91,138,39.90232907400059,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,12000,0.2,0.02,0.985891667523657,1.1337480773160176e+17,11.337480773160175,0.9072416456391014,9.600727136485565e+16,9.600727136485563,57437066254.6228,58259003647.82682,29098.321275638828,1.0,0.0199999980038688,-9.980655555491545e-08,45,91,141,26.801597005003718,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,14000,0.01,0.001,1.0189582957263998,1.6121266915886138e+17,16.12126691588614,0.9326571260999916,1.3506112890685229e+17,13.506112890685229,2504142474.3829,2457551486.5382543,38.89725022683696,1.0,0.0009999821683191,-1.7831680803378352e-05,45,91,69,24.913760904004448,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
